Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City
798,"Antarctic Specially Protected Area No 179 (Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica): Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 18 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 179 (Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica): Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a Management Plan for ASPA 179;Recognising that this area supports outstanding environmental, scientific, historic, aesthetic or wilderness values, or ongoing or planned scientific research, and would benefit from special protection;Desiring to designate Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica as ASPA 179, and to approve the Management Plan for this Area;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica, be designated as Antarctic Specially Protected Area No 179; and2. the Management Plan, which is annexed to this Measure, be approved.",Measure 18,2023,ATCM XLV,CEP XXV,Helsinki
797,"Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 17 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling Measure 9 (2012) which designated Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land as ASPA 172 and annexed a Management Plan for the Area;Recalling Measure 6 (2018), which adopted a revised Management Plan for ASPA 172;Noting that that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 172;Desiring to replace the existing Management Plan for ASPA 172 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 172 annexed to Measure 6 (2018) be revoked.",Measure 17,2023,ATCM XLV,CEP XXV,Helsinki
796,"Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 16 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 4 (2008) which designated Marion Nunataks, Charcot Island, Antarctic Peninsula as ASPA 170 and adopted a Management Plan for the Area;Measures 16 (2013) and 5 (2018), which adopted revised Management Plans for ASPA 170;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 170;Desiring to replace the existing Management Plan for ASPA 170 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 170 annexed to Measure 5 (2018) be revoked.",Measure 16,2023,ATCM XLV,CEP XXV,Helsinki
795,"Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 15 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2008), which designated Mount Harding, Grove Mountains, East Antarctica as ASPA 168 and annexed a Management Plan for the Area;Measure 17 (2015), which adopted a revised Management Plan for ASPA 168;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 168;Desiring to replace the existing Management Plan for ASPA 168 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 168 annexed to Measure 17 (2015) be revoked.",Measure 15,2023,ATCM XLV,CEP XXV,Helsinki
794,"Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management Plan",Effective 06/09/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 14 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 1 (2006), which designated Edmonson Point, Wood Bay, Ross Sea as ASPA 165 and annexed a Management Plan for the Area;Measures 8 (2011) and 7 (2017), which adopted revised Management Plans for ASPA 165;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 165;Desiring to replace the existing Management Plan for ASPA 165 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 165 annexed to Measure 7 (2017) be revoked.",Measure 14,2023,ATCM XLV,CEP XXV,Helsinki
793,"Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 13 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (1997), which designated Lewis Bay, Mount Erebus, Ross Island as Specially Protected Area (“SPA”) No 26 and adopted a Management Plan for the Area;Decision 1 (2002), which renamed and renumbered SPA 26 as ASPA 156;Measures 2 (2003) and 13 (2013), which adopted revised Management Plans for ASPA 156;Recalling that the Committee for Environmental Protection (“CEP”) XI (2008) reviewed and continued without changes the Management Plan for ASPA 156, which is annexed to Measure 2 (2003);Recalling that Measure 2 (1997) has not become effective and was withdrawn by Measure 8 (2010);Recalling that the CEP XXI (2018) reviewed and continued without changes the Management Plan for ASPA 156, which is annexed to Measure 13 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 156;Desiring to replace the existing Management Plan for ASPA 156 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 156 annexed to Measure 13 (2013) be revoked.1.",Measure 13,2023,ATCM XLV,CEP XXV,Helsinki
792,"Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 06/09/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 12 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation IV-11 (1966), which designated Cape Shirreff, Livingston Island, South Shetland Islands as Specially Protected Area (“SPA”) No 11;Recommendation XV-7 (1989), which terminated SPA 11 and redesignated the Area as Site of Special Scientific Interest (“SSSI”) No 32 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 32;Decision 1 (2002), which renamed and renumbered SSSI 32 as ASPA 149;Measures 2 (2005), 7 (2011), 7 (2016) and 16 (2022), which adopted revised Management Plans for ASPA 149;Recalling that Recommendation XV-7 (1989) and Measure 2 (2000) did not become effective, and that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendation XV-7 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 149;Desiring to replace the existing Management Plan for ASPA 149 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 149 annexed to Measure 16 (2022) be revoked.",Measure 12,2023,ATCM XLV,CEP XXV,Helsinki
791,"Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 11 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XV-6 (1989), which designated Ablation Valley and Ganymede Heights, Alexander Island as Site of Special Scientific Interest (“SSSI”) No 29 and annexed a Management Plan for the Site;Resolution 3 (1996), which extended the expiry date for SSSI 29;Measure 2 (2000), which extended the expiry date for the Management Plan for SSSI 29;Decision 1 (2002), which renamed and renumbered SSSI 29 as ASPA 147;Measures 1 (2002), 10 (2013) and 4 (2018), which adopted revised Management Plans for ASPA 147;Recalling that Recommendation XV-6 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 147;Desiring to replace the existing Management Plan for ASPA 147 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 147 annexed to Measure 4 (2018) be revoked.",Measure 11,2023,ATCM XLV,CEP XXV,Helsinki
790,"Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 10 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987) which designated Port Foster, Deception Island as Site of Special Scientific Interest (“SSSI”) No 27 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the date of expiry of the Management Plan for SSSI 27;Decision 1 (2002) which renamed and renumbered SSSI 27 as ASPA 145;Measure 3 (2005), which incorporated ASPA 145 into Antarctic Specially Managed Area No 4 (Deception Island) and adopted a revised Management Plan for ASPA 145;Recalling that Recommendation XIV-5 (1987) was designated as no longer current by Measure 13 (2014);Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 145;Desiring to replace the existing Management Plan for ASPA 145 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 145 annexed to Measure 3 (2005) be revoked.",Measure 10,2023,ATCM XLV,CEP XXV,Helsinki
789,"Antarctic Specially Protected Area No 144 (Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands): Revoked Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 9 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 144 (Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands): Revoked Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 26, and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the date of expiry of SSSI 26;Decision 4 (1998), which listed SSSI 26 as a SSSI with marine areas of interest to the Commission for the Conservation of Antarctic Marine Living Resources;Decision 1 (2002), which renamed and renumbered SSSI 26 as ASPA 144;Measure 4 (2005), which extended the date of expiry of the Management Plan for ASPA 144;Recalling that Recommendation XIV-5 (1987) was designated as no longer current by Measure 13 (2014);Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011) and that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Recalling that Decision 4 (1998) was designated as no longer current by Decision 9 (2005);Noting that the Committee for Environmental Protection has reviewed the appropriateness of additional protection afforded by ASPA status for Chile Bay (Discovery Bay);Desiring to update the status of ASPA 144;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the Management Plan for Antarctic Specially Protected Area No 144 annexed to Recommendation XIV-5 (1987) be revoked; and2. Antarctic Specially Protected Area No 144 shall not be used as a future designation.",Measure 9,2023,ATCM XLV,CEP XXV,Helsinki
788,"Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 8 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Linnaeus Terrace, Asgard Range, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 19 and annexed a Management Plan for the Site;Resolution 7 (1995), which extended the expiry date of SSSI;Measure 1 (1996), which annexed a revised Management Plan for SSSI 19;Decision 1 (2002), which renamed and renumbered SSSI 19 as Antarctic Specially Protected Area No 138;Measures 10 (2008) and 8 (2013), which adopted revised Management Plans for ASPA 138;Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (1996) has not become effective and was withdrawn by Measure 10 (2008);Recalling that the Committee for Environmental Protection (“CEP”) XXI (2018) reviewed and continued without changes the Management Plan for ASPA 138, which is annexed to Measure 8 (2013);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 138;Desiring to replace the existing Management Plan for ASPA 138 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 138 annexed to Measure 8 (2013) be revoked.",Measure 8,2023,ATCM XLV,CEP XXV,Helsinki
